model;RMSE;results
DecisonTree;1099.1759070344683;1
Random Forest Regressor;800.4971968499227;1
Elastic Net;790.9875592575934;1
Lasso;790.0996996256642;1
Linear;788.8992017205424;1
Ridge;788.7202327830803;1
XGboost;756.0248880610018;1
DecisonTree;1082.3967928269676;2
Random Forest Regressor;803.0862009607345;2
Elastic Net;792.6853125096719;2
Lasso;791.8011370655095;2
Ridge;790.3888253269046;2
Linear;790.345250251489;2
XGboost;756.5576464232183;2
DecisonTree;1109.7556263007216;3
Random Forest Regressor;806.5465126580593;3
Elastic Net;792.5402630153834;3
Lasso;791.685309592544;3
Linear;790.5010275243263;3
Ridge;790.325797707016;3
XGboost;757.0018314430814;3
DecisonTree;1091.735861582039;4
Random Forest Regressor;790.575036109715;4
Elastic Net;790.3913203208704;4
Lasso;789.114320257767;4
Ridge;787.8329011528037;4
Linear;787.8019410054247;4
XGboost;756.9021371839892;4
DecisonTree;768.221405487439;5
Random Forest Regressor;570.1148630458238;5
Elastic Net;569.6584132275345;5
Lasso;569.0815028809978;5
Ridge;567.3860730926478;5
Linear;567.3627267841789;5
XGboost;543.2691840252113;5
